"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
15;"TP5_19,TP5_1,TP5_3,TP5_10,TP5_7,TP5_17,TP5_8,TP5_2,TP5_13,TP5_18,TP5_20,TP5_9,TP5_15,TP5_6,TP5_4,TP5_14,TP5_11,TP5_12,TP5_16,TP5_5";"TestPoint_Pad_04";20;"TP_F1";;;
16;"TP3_16,TP3_5,TP3_14,TP3_20,TP3_13,TP3_8,TP3_18,TP3_17,TP3_11,TP3_7,TP3_6,TP3_12,TP3_9,TP3_1,TP3_3,TP3_2,TP3_15,TP3_10,TP3_4,TP3_19";"TestPoint_Pad_04";20;"TP_SEN";;;
17;"R4_17,R4_8,R4_18,R5_7,R5_6,R6_10,R5_18,R5_5,R5_17,R5_13,R6_11,R6_3,R5_4,R6_6,R4_10,R6_15,R5_12,R5_20,R6_4,R4_12,R4_1,R5_2,R6_17,R6_18,R4_9,R5_14,R5_16,R5_3,R4_14,R6_20,R5_11,R4_13,R6_12,R5_19,R4_19,R6_13,R6_2,R6_7,R4_16,R4_3,R6_1,R4_2,R5_1,R4_5,R4_15,R5_10,R4_20,R6_16,R6_9,R5_8,R5_15,R4_4,R4_11,R6_19,R4_7,R6_8,R6_5,R4_6,R5_9,R6_14";"RC0805N_VIS";60;"CRCW080520R0FKEA";;;
18;"R16_12,R16_14,R15_5,R15_13,R15_6,R16_5,R16_3,R15_15,R16_11,R15_11,R15_4,R16_2,R15_19,R16_18,R15_20,R16_7,R16_10,R16_20,R15_3,R16_19,R16_15,R16_1,R16_4,R15_12,R16_17,R16_16,R15_10,R15_17,R15_2,R15_8,R16_13,R16_9,R15_1,R16_8,R16_6,R15_16,R15_18,R15_7,R15_9,R15_14";"RES_CRCW_0805";40;"CRCW08051M00FKEA";;;
19;"TP4_3,TP4_12,TP4_19,TP4_10,TP4_4,TP4_1,TP4_14,TP4_9,TP4_2,TP4_11,TP4_17,TP4_18,TP4_5,TP4_16,TP4_20,TP4_6,TP4_13,TP4_8,TP4_15,TP4_7";"TestPoint_Pad_04";20;"TP_AUX";;;
20;"CR1";"SO-8_STM";1;"M24C16-WMN6TP";;;
21;"R_CLK1,R_DAT1";"RC0805N_VIS";2;"CRCW08054K75FKEA";;;
22;"C2,C1";"CAPC220145_140N_KEM";2;"C0805C105K5RACTU";;;
23;"R3,R2";"RES_CRCW_0805";2;"CRCW08053K00FKEA";;;
24;"U2";"DBZ3";1;"LM4041CIDBZT";;;
25;"R1";"RC0805N_VIS";1;"CRCW08052K00FKEA";;;
