Ref,Val,Package,PosX,PosY,Rot,Side
"C6_12","C0805C104K5RACTU","CAPC220145_88N_KEM",150.437201,-124.730000,0.000000,bottom
"C6_13","C0805C104K5RACTU","CAPC220145_88N_KEM",150.437201,-175.230000,0.000000,bottom
"C6_14","C0805C104K5RACTU","CAPC220145_88N_KEM",175.391896,-99.237652,0.000000,bottom
"C6_15","C0805C104K5RACTU","CAPC220145_88N_KEM",175.391896,-149.737652,0.000000,bottom
"C6_16","C0805C104K5RACTU","CAPC220145_88N_KEM",200.937201,-74.230000,0.000000,bottom
"C6_17","C0805C104K5RACTU","CAPC220145_88N_KEM",200.937201,-124.730000,0.000000,bottom
"C6_18","C0805C104K5RACTU","CAPC220145_88N_KEM",200.937201,-175.230000,0.000000,bottom
"C6_19","C0805C104K5RACTU","CAPC220145_88N_KEM",225.906896,-99.305000,0.000000,bottom
"C6_20","C0805C104K5RACTU","CAPC220145_88N_KEM",225.906896,-149.805000,0.000000,bottom
"C7_1","C0805C104K5RACTU","CAPC220145_88N_KEM",36.717201,-61.110000,0.000000,bottom
"C7_2","C0805C104K5RACTU","CAPC220145_88N_KEM",36.717201,-111.610000,0.000000,bottom
"C7_3","C0805C104K5RACTU","CAPC220145_88N_KEM",36.717201,-162.110000,0.000000,bottom
"C7_4","C0805C104K5RACTU","CAPC220145_88N_KEM",61.671896,-86.117652,0.000000,bottom
"C7_5","C0805C104K5RACTU","CAPC220145_88N_KEM",61.671896,-136.617652,0.000000,bottom
"C7_6","C0805C104K5RACTU","CAPC220145_88N_KEM",87.217201,-61.110000,0.000000,bottom
"C7_7","C0805C104K5RACTU","CAPC220145_88N_KEM",87.217201,-111.610000,0.000000,bottom
"C7_8","C0805C104K5RACTU","CAPC220145_88N_KEM",87.217201,-162.110000,0.000000,bottom
"C7_9","C0805C104K5RACTU","CAPC220145_88N_KEM",112.186896,-86.185000,0.000000,bottom
"C7_10","C0805C104K5RACTU","CAPC220145_88N_KEM",112.186896,-136.685000,0.000000,bottom
"C7_11","C0805C104K5RACTU","CAPC220145_88N_KEM",137.717201,-61.110000,0.000000,bottom
"C7_12","C0805C104K5RACTU","CAPC220145_88N_KEM",137.717201,-111.610000,0.000000,bottom
"C7_13","C0805C104K5RACTU","CAPC220145_88N_KEM",137.717201,-162.110000,0.000000,bottom
"C7_14","C0805C104K5RACTU","CAPC220145_88N_KEM",162.671896,-86.117652,0.000000,bottom
"C7_15","C0805C104K5RACTU","CAPC220145_88N_KEM",162.671896,-136.617652,0.000000,bottom
"C7_16","C0805C104K5RACTU","CAPC220145_88N_KEM",188.217201,-61.110000,0.000000,bottom
"C7_17","C0805C104K5RACTU","CAPC220145_88N_KEM",188.217201,-111.610000,0.000000,bottom
"C7_18","C0805C104K5RACTU","CAPC220145_88N_KEM",188.217201,-162.110000,0.000000,bottom
"C7_19","C0805C104K5RACTU","CAPC220145_88N_KEM",213.186896,-86.185000,0.000000,bottom
"C7_20","C0805C104K5RACTU","CAPC220145_88N_KEM",213.186896,-136.685000,0.000000,bottom
"C8_1","C0805C104K5RACTU","CAPC220145_88N_KEM",36.847201,-65.040000,0.000000,bottom
"C8_2","C0805C104K5RACTU","CAPC220145_88N_KEM",36.847201,-115.540000,0.000000,bottom
"C8_3","C0805C104K5RACTU","CAPC220145_88N_KEM",36.847201,-166.040000,0.000000,bottom
"C8_4","C0805C104K5RACTU","CAPC220145_88N_KEM",61.801896,-90.047652,0.000000,bottom
"C8_5","C0805C104K5RACTU","CAPC220145_88N_KEM",61.801896,-140.547652,0.000000,bottom
"C8_6","C0805C104K5RACTU","CAPC220145_88N_KEM",87.347201,-65.040000,0.000000,bottom
"C8_7","C0805C104K5RACTU","CAPC220145_88N_KEM",87.347201,-115.540000,0.000000,bottom
"C8_8","C0805C104K5RACTU","CAPC220145_88N_KEM",87.347201,-166.040000,0.000000,bottom
"C8_9","C0805C104K5RACTU","CAPC220145_88N_KEM",112.316896,-90.115000,0.000000,bottom
"C8_10","C0805C104K5RACTU","CAPC220145_88N_KEM",112.316896,-140.615000,0.000000,bottom
"C8_11","C0805C104K5RACTU","CAPC220145_88N_KEM",137.847201,-65.040000,0.000000,bottom
"C8_12","C0805C104K5RACTU","CAPC220145_88N_KEM",137.847201,-115.540000,0.000000,bottom
"C8_13","C0805C104K5RACTU","CAPC220145_88N_KEM",137.847201,-166.040000,0.000000,bottom
"C8_14","C0805C104K5RACTU","CAPC220145_88N_KEM",162.801896,-90.047652,0.000000,bottom
"C8_15","C0805C104K5RACTU","CAPC220145_88N_KEM",162.801896,-140.547652,0.000000,bottom
"C8_16","C0805C104K5RACTU","CAPC220145_88N_KEM",188.347201,-65.040000,0.000000,bottom
"C8_17","C0805C104K5RACTU","CAPC220145_88N_KEM",188.347201,-115.540000,0.000000,bottom
"C8_18","C0805C104K5RACTU","CAPC220145_88N_KEM",188.347201,-166.040000,0.000000,bottom
"C8_19","C0805C104K5RACTU","CAPC220145_88N_KEM",213.316896,-90.115000,0.000000,bottom
"C8_20","C0805C104K5RACTU","CAPC220145_88N_KEM",213.316896,-140.615000,0.000000,bottom
"C9_1","C0805C104K5RACTU","CAPC220145_88N_KEM",46.267201,-61.640000,180.000000,bottom
"C9_2","C0805C104K5RACTU","CAPC220145_88N_KEM",46.267201,-112.140000,180.000000,bottom
"C9_3","C0805C104K5RACTU","CAPC220145_88N_KEM",46.267201,-162.640000,180.000000,bottom
"C9_4","C0805C104K5RACTU","CAPC220145_88N_KEM",71.221896,-86.647652,180.000000,bottom
"C9_5","C0805C104K5RACTU","CAPC220145_88N_KEM",71.221896,-137.147652,180.000000,bottom
"C9_6","C0805C104K5RACTU","CAPC220145_88N_KEM",96.767201,-61.640000,180.000000,bottom
"C9_7","C0805C104K5RACTU","CAPC220145_88N_KEM",96.767201,-112.140000,180.000000,bottom
"C9_8","C0805C104K5RACTU","CAPC220145_88N_KEM",96.767201,-162.640000,180.000000,bottom
"C9_9","C0805C104K5RACTU","CAPC220145_88N_KEM",121.736896,-86.715000,180.000000,bottom
"C9_10","C0805C104K5RACTU","CAPC220145_88N_KEM",121.736896,-137.215000,180.000000,bottom
"C9_11","C0805C104K5RACTU","CAPC220145_88N_KEM",147.267201,-61.640000,180.000000,bottom
"C9_12","C0805C104K5RACTU","CAPC220145_88N_KEM",147.267201,-112.140000,180.000000,bottom
"C9_13","C0805C104K5RACTU","CAPC220145_88N_KEM",147.267201,-162.640000,180.000000,bottom
"C9_14","C0805C104K5RACTU","CAPC220145_88N_KEM",172.221896,-86.647652,180.000000,bottom
"C9_15","C0805C104K5RACTU","CAPC220145_88N_KEM",172.221896,-137.147652,180.000000,bottom
"C9_16","C0805C104K5RACTU","CAPC220145_88N_KEM",197.767201,-61.640000,180.000000,bottom
"C9_17","C0805C104K5RACTU","CAPC220145_88N_KEM",197.767201,-112.140000,180.000000,bottom
"C9_18","C0805C104K5RACTU","CAPC220145_88N_KEM",197.767201,-162.640000,180.000000,bottom
"C9_19","C0805C104K5RACTU","CAPC220145_88N_KEM",222.736896,-86.715000,180.000000,bottom
"C9_20","C0805C104K5RACTU","CAPC220145_88N_KEM",222.736896,-137.215000,180.000000,bottom
"C10_1","C0805C104K5RACTU","CAPC220145_88N_KEM",46.267201,-54.080000,180.000000,bottom
"C10_2","C0805C104K5RACTU","CAPC220145_88N_KEM",46.267201,-104.580000,180.000000,bottom
"C10_3","C0805C104K5RACTU","CAPC220145_88N_KEM",46.267201,-155.080000,180.000000,bottom
"C10_4","C0805C104K5RACTU","CAPC220145_88N_KEM",71.221896,-79.087652,180.000000,bottom
"C10_5","C0805C104K5RACTU","CAPC220145_88N_KEM",71.221896,-129.587652,180.000000,bottom
"C10_6","C0805C104K5RACTU","CAPC220145_88N_KEM",96.767201,-54.080000,180.000000,bottom
"C10_7","C0805C104K5RACTU","CAPC220145_88N_KEM",96.767201,-104.580000,180.000000,bottom
"C10_8","C0805C104K5RACTU","CAPC220145_88N_KEM",96.767201,-155.080000,180.000000,bottom
"C10_9","C0805C104K5RACTU","CAPC220145_88N_KEM",121.736896,-79.155000,180.000000,bottom
"C10_10","C0805C104K5RACTU","CAPC220145_88N_KEM",121.736896,-129.655000,180.000000,bottom
"C10_11","C0805C104K5RACTU","CAPC220145_88N_KEM",147.267201,-54.080000,180.000000,bottom
"C10_12","C0805C104K5RACTU","CAPC220145_88N_KEM",147.267201,-104.580000,180.000000,bottom
"C10_13","C0805C104K5RACTU","CAPC220145_88N_KEM",147.267201,-155.080000,180.000000,bottom
"C10_14","C0805C104K5RACTU","CAPC220145_88N_KEM",172.221896,-79.087652,180.000000,bottom
"C10_15","C0805C104K5RACTU","CAPC220145_88N_KEM",172.221896,-129.587652,180.000000,bottom
"C10_16","C0805C104K5RACTU","CAPC220145_88N_KEM",197.767201,-54.080000,180.000000,bottom
"C10_17","C0805C104K5RACTU","CAPC220145_88N_KEM",197.767201,-104.580000,180.000000,bottom
"C10_18","C0805C104K5RACTU","CAPC220145_88N_KEM",197.767201,-155.080000,180.000000,bottom
"C10_19","C0805C104K5RACTU","CAPC220145_88N_KEM",222.736896,-79.155000,180.000000,bottom
"C10_20","C0805C104K5RACTU","CAPC220145_88N_KEM",222.736896,-129.655000,180.000000,bottom
"CR1","M24C16-WMN6TP","SO-8_STM",204.950300,-28.752200,180.000000,bottom
"R1","CRCW08052K00FKEA","RC0805N_VIS",221.617200,-26.280000,180.000000,bottom
"R2","CRCW08053K00FKEA","RES_CRCW_0805",211.797500,-27.450000,180.000000,bottom
"R3","CRCW08053K00FKEA","RES_CRCW_0805",211.900000,-30.862500,-90.000000,bottom
"R4_1","CRCW080520R0FKEA","RC0805N_VIS",63.892799,-61.470000,0.000000,bottom
"R4_2","CRCW080520R0FKEA","RC0805N_VIS",63.892799,-111.970000,0.000000,bottom
"R4_3","CRCW080520R0FKEA","RC0805N_VIS",63.892799,-162.470000,0.000000,bottom
"R4_4","CRCW080520R0FKEA","RC0805N_VIS",88.847494,-86.477652,0.000000,bottom
"R4_5","CRCW080520R0FKEA","RC0805N_VIS",88.847494,-136.977652,0.000000,bottom
"R4_6","CRCW080520R0FKEA","RC0805N_VIS",114.392799,-61.470000,0.000000,bottom
"R4_7","CRCW080520R0FKEA","RC0805N_VIS",114.392799,-111.970000,0.000000,bottom
"R4_8","CRCW080520R0FKEA","RC0805N_VIS",114.392799,-162.470000,0.000000,bottom
"R4_9","CRCW080520R0FKEA","RC0805N_VIS",139.362494,-86.545000,0.000000,bottom
"R4_10","CRCW080520R0FKEA","RC0805N_VIS",139.362494,-137.045000,0.000000,bottom
"R4_11","CRCW080520R0FKEA","RC0805N_VIS",164.892799,-61.470000,0.000000,bottom
"R4_12","CRCW080520R0FKEA","RC0805N_VIS",164.892799,-111.970000,0.000000,bottom
"R4_13","CRCW080520R0FKEA","RC0805N_VIS",164.892799,-162.470000,0.000000,bottom
"R4_14","CRCW080520R0FKEA","RC0805N_VIS",189.847494,-86.477652,0.000000,bottom
"R4_15","CRCW080520R0FKEA","RC0805N_VIS",189.847494,-136.977652,0.000000,bottom
"R4_16","CRCW080520R0FKEA","RC0805N_VIS",215.392799,-61.470000,0.000000,bottom
"R4_17","CRCW080520R0FKEA","RC0805N_VIS",215.392799,-111.970000,0.000000,bottom
"R4_18","CRCW080520R0FKEA","RC0805N_VIS",215.392799,-162.470000,0.000000,bottom
"R4_19","CRCW080520R0FKEA","RC0805N_VIS",240.362494,-86.545000,0.000000,bottom
"R4_20","CRCW080520R0FKEA","RC0805N_VIS",240.362494,-137.045000,0.000000,bottom
"R5_1","CRCW080520R0FKEA","RC0805N_VIS",63.987201,-55.120000,0.000000,bottom
"R5_2","CRCW080520R0FKEA","RC0805N_VIS",63.987201,-105.620000,0.000000,bottom
"R5_3","CRCW080520R0FKEA","RC0805N_VIS",63.987201,-156.120000,0.000000,bottom
"R5_4","CRCW080520R0FKEA","RC0805N_VIS",88.941896,-80.127652,0.000000,bottom
"R5_5","CRCW080520R0FKEA","RC0805N_VIS",88.941896,-130.627652,0.000000,bottom
"R5_6","CRCW080520R0FKEA","RC0805N_VIS",114.487201,-55.120000,0.000000,bottom
"R5_7","CRCW080520R0FKEA","RC0805N_VIS",114.487201,-105.620000,0.000000,bottom
"R5_8","CRCW080520R0FKEA","RC0805N_VIS",114.487201,-156.120000,0.000000,bottom
"R5_9","CRCW080520R0FKEA","RC0805N_VIS",139.456896,-80.195000,0.000000,bottom
"R5_10","CRCW080520R0FKEA","RC0805N_VIS",139.456896,-130.695000,0.000000,bottom
"R5_11","CRCW080520R0FKEA","RC0805N_VIS",164.987201,-55.120000,0.000000,bottom
"R5_12","CRCW080520R0FKEA","RC0805N_VIS",164.987201,-105.620000,0.000000,bottom
"R5_13","CRCW080520R0FKEA","RC0805N_VIS",164.987201,-156.120000,0.000000,bottom
"R5_14","CRCW080520R0FKEA","RC0805N_VIS",189.941896,-80.127652,0.000000,bottom
"R5_15","CRCW080520R0FKEA","RC0805N_VIS",189.941896,-130.627652,0.000000,bottom
"R5_16","CRCW080520R0FKEA","RC0805N_VIS",215.487201,-55.120000,0.000000,bottom
"R5_17","CRCW080520R0FKEA","RC0805N_VIS",215.487201,-105.620000,0.000000,bottom
"R5_18","CRCW080520R0FKEA","RC0805N_VIS",215.487201,-156.120000,0.000000,bottom
"R5_19","CRCW080520R0FKEA","RC0805N_VIS",240.456896,-80.195000,0.000000,bottom
"R5_20","CRCW080520R0FKEA","RC0805N_VIS",240.456896,-130.695000,0.000000,bottom
"R6_1","CRCW080520R0FKEA","RC0805N_VIS",41.657201,-64.800000,0.000000,bottom
"R6_2","CRCW080520R0FKEA","RC0805N_VIS",41.657201,-115.300000,0.000000,bottom
"R6_3","CRCW080520R0FKEA","RC0805N_VIS",41.657201,-165.800000,0.000000,bottom
"R6_4","CRCW080520R0FKEA","RC0805N_VIS",66.611896,-89.807652,0.000000,bottom
"R6_5","CRCW080520R0FKEA","RC0805N_VIS",66.611896,-140.307652,0.000000,bottom
"R6_6","CRCW080520R0FKEA","RC0805N_VIS",92.157201,-64.800000,0.000000,bottom
"R6_7","CRCW080520R0FKEA","RC0805N_VIS",92.157201,-115.300000,0.000000,bottom
"R6_8","CRCW080520R0FKEA","RC0805N_VIS",92.157201,-165.800000,0.000000,bottom
"R6_9","CRCW080520R0FKEA","RC0805N_VIS",117.126896,-89.875000,0.000000,bottom
"R6_10","CRCW080520R0FKEA","RC0805N_VIS",117.126896,-140.375000,0.000000,bottom
"R6_11","CRCW080520R0FKEA","RC0805N_VIS",142.657201,-64.800000,0.000000,bottom
"R6_12","CRCW080520R0FKEA","RC0805N_VIS",142.657201,-115.300000,0.000000,bottom
"R6_13","CRCW080520R0FKEA","RC0805N_VIS",142.657201,-165.800000,0.000000,bottom
"R6_14","CRCW080520R0FKEA","RC0805N_VIS",167.611896,-89.807652,0.000000,bottom
"R6_15","CRCW080520R0FKEA","RC0805N_VIS",167.611896,-140.307652,0.000000,bottom
"R6_16","CRCW080520R0FKEA","RC0805N_VIS",193.157201,-64.800000,0.000000,bottom
"R6_17","CRCW080520R0FKEA","RC0805N_VIS",193.157201,-115.300000,0.000000,bottom
"R6_18","CRCW080520R0FKEA","RC0805N_VIS",193.157201,-165.800000,0.000000,bottom
"R6_19","CRCW080520R0FKEA","RC0805N_VIS",218.126896,-89.875000,0.000000,bottom
"R6_20","CRCW080520R0FKEA","RC0805N_VIS",218.126896,-140.375000,0.000000,bottom
"R7_1","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",59.907500,-71.620000,0.000000,bottom
"R7_2","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",59.907500,-122.120000,0.000000,bottom
"R7_3","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",59.907500,-172.620000,0.000000,bottom
"R7_4","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",84.862195,-96.627652,0.000000,bottom
"R7_5","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",84.862195,-147.127652,0.000000,bottom
"R7_6","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",110.407500,-71.620000,0.000000,bottom
"R7_7","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",110.407500,-122.120000,0.000000,bottom
"R7_8","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",110.407500,-172.620000,0.000000,bottom
"R7_9","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",135.377195,-96.695000,0.000000,bottom
"R7_10","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",135.377195,-147.195000,0.000000,bottom
"R7_11","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",160.907500,-71.620000,0.000000,bottom
"R7_12","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",160.907500,-122.120000,0.000000,bottom
"R7_13","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",160.907500,-172.620000,0.000000,bottom
"R7_14","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",185.862195,-96.627652,0.000000,bottom
"R7_15","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",185.862195,-147.127652,0.000000,bottom
"R7_16","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",211.407500,-71.620000,0.000000,bottom
"R7_17","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",211.407500,-122.120000,0.000000,bottom
"R7_18","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",211.407500,-172.620000,0.000000,bottom
"R7_19","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",236.377195,-96.695000,0.000000,bottom
"R7_20","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",236.377195,-147.195000,0.000000,bottom
"R8_1","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",65.092500,-66.550000,180.000000,bottom
"R8_2","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",65.092500,-117.050000,180.000000,bottom
"R8_3","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",65.092500,-167.550000,180.000000,bottom
"R8_4","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",90.047195,-91.557652,180.000000,bottom
"R8_5","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",90.047195,-142.057652,180.000000,bottom
"R8_6","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",115.592500,-66.550000,180.000000,bottom
"R8_7","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",115.592500,-117.050000,180.000000,bottom
"R8_8","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",115.592500,-167.550000,180.000000,bottom
"R8_9","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",140.562195,-91.625000,180.000000,bottom
"R8_10","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",140.562195,-142.125000,180.000000,bottom
"R8_11","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",166.092500,-66.550000,180.000000,bottom
"R8_12","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",166.092500,-117.050000,180.000000,bottom
"R8_13","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",166.092500,-167.550000,180.000000,bottom
"R8_14","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",191.047195,-91.557652,180.000000,bottom
"R8_15","CRCW080510K0FKEAC","RES_CRCW_0805_VIS",191.047195,-142.057652,180.000000,bottom
